city,year,weekofyear,total_cases
sj,2012,18,140
sj,2012,19,140
sj,2012,20,140
sj,2012,21,140
sj,2012,22,142
sj,2012,23,139
sj,2012,24,123
sj,2012,25,140
sj,2012,26,130
sj,2012,27,140
sj,2012,28,140
sj,2012,29,140
sj,2012,30,140
sj,2012,31,140
sj,2012,32,140
sj,2012,33,140
sj,2012,34,140
sj,2012,35,140
sj,2012,36,140
sj,2012,37,140
sj,2012,38,140
sj,2012,39,140
sj,2012,40,140
sj,2012,41,140
sj,2012,42,140
sj,2012,43,140
sj,2012,44,140
sj,2012,45,140
sj,2012,46,140
sj,2012,47,142
sj,2012,48,140
sj,2012,49,140
sj,2012,50,140
sj,2012,51,130
sj,2013,sj,142
sj,2013,2,131
sj,2013,3,130
sj,2013,4,130
sj,2013,5,130
sj,2013,6,130
sj,2013,7,130
sj,2013,8,130
sj,2013,9,130
sj,2013,10,137
sj,2013,11,130
sj,2013,12,119
sj,2013,13,140
sj,2013,14,140
sj,2013,15,130
sj,2013,16,130
sj,2013,17,140
iq,2010,26,140
iq,2010,27,140
iq,2010,28,140
iq,2010,29,139
iq,2010,30,140
iq,2010,31,140
iq,2010,32,140
iq,2010,33,140
iq,2010,34,140
iq,2010,35,140
iq,2010,36,140
iq,2010,37,140
iq,2010,38,140
iq,2010,39,140
iq,2010,40,140
iq,2010,41,140
iq,2010,42,140
iq,2010,43,140
iq,2010,44,140
iq,2010,45,140
iq,2010,46,140
iq,2010,47,140
iq,2010,48,140
iq,2010,49,140
iq,2010,50,140
iq,2010,51,140
iq,2011,52,140
iq,2011,sj,142
iq,2011,2,141
iq,2011,3,140
iq,2011,4,140
iq,2011,5,140
iq,2011,6,140
iq,2011,7,140
iq,2011,8,140
iq,2011,9,140
iq,2011,10,140
iq,2011,11,140
iq,2011,12,140
iq,2011,13,140
iq,2011,14,140
iq,2011,15,140
iq,2011,16,140
iq,2011,17,140
iq,2011,18,140
iq,2011,19,79
iq,2011,20,140
iq,2011,21,140
iq,2011,22,140
iq,2011,23,140
iq,2011,24,140
iq,2011,25,75
iq,2011,26,140
iq,2011,27,140
iq,2011,28,140
iq,2011,29,140
iq,2011,30,140
iq,2011,31,140
iq,2011,32,140
iq,2011,33,140
iq,2011,34,140
iq,2011,35,140
iq,2011,36,140
iq,2011,37,140
iq,2011,38,140
iq,2011,39,140
iq,2011,40,140
iq,2011,41,140
iq,2011,42,140
iq,2011,43,140
iq,2011,44,140
iq,2011,45,140
iq,2011,46,140
iq,2011,47,140
iq,2011,48,140
iq,2011,49,140
iq,2011,50,140
iq,2011,51,140
iq,2012,52,140
iq,2012,sj,142
iq,2012,2,141
iq,2012,3,140
iq,2012,4,140
iq,2012,5,140
iq,2012,6,140
iq,2012,7,140
iq,2012,8,140
iq,2012,9,140
iq,2012,10,140
iq,2012,11,140
iq,2012,12,140
iq,2012,13,140
iq,2012,14,140
iq,2012,15,140
iq,2012,16,140
iq,2012,17,140
iq,2012,18,140
iq,2012,19,140
iq,2012,20,140
iq,2012,21,140
iq,2012,22,140
iq,2012,23,140
iq,2012,24,97
iq,2012,25,140
iq,2012,26,140
iq,2012,27,140
iq,2012,28,140
iq,2012,29,140
iq,2012,30,80
iq,2012,31,140
iq,2012,32,140
iq,2012,33,140
iq,2012,34,140
iq,2012,35,140
iq,2012,36,140
iq,2012,37,140
iq,2012,38,140
iq,2012,39,140
iq,2012,40,140
iq,2012,41,140
iq,2012,42,140
iq,2012,43,140
iq,2012,44,140
iq,2012,45,140
iq,2012,46,140
iq,2012,47,140
iq,2012,48,140
iq,2012,49,140
iq,2012,50,140
iq,2012,51,140
iq,2013,sj,142
iq,2013,2,141
iq,2013,3,140
iq,2013,4,140
iq,2013,5,140
iq,2013,6,140
iq,2013,7,140
iq,2013,8,140
iq,2013,9,140
iq,2013,10,140
iq,2013,11,140
iq,2013,12,140
iq,2013,13,140
iq,2013,14,140
iq,2013,15,140
iq,2013,16,140
iq,2013,17,140
iq,2013,18,140
iq,2013,19,140
iq,2013,20,140
iq,2013,21,140
iq,2013,22,140
iq,2013,23,140
iq,2013,24,140
iq,2013,25,140
iq,2013,26,140
